id,name,slug,type,address,city_id,lat,lng,is_open,is_nfc,cash_in,working_weekends,is_digital,work_hours_week,work_hours_saturday,work_hours_sunday,notes
1295,Qayali Market,gayali-market,A,"Qayali Market, M.Ə.Rəsulzadə 57 A küçəsi ",56,41.20162,48.98153,1,0,0,0,0,,,,
1296,"Araz Market, Fatmai şossesi",araz-market-fatma,A,"Araz Market, Mehdiabad qəsəbəsi Fatmai şossesi",2,40.49639,49.85707,1,0,0,0,0,,,,
1297,Ekonom Market,ekonom-market,A,"Ekonom Market, M.Ə.Rəsulzadə küçəsi 180",59,41.19933,47.17816,1,0,0,0,0,,,,
1298,Xanımın Marketi,xanimin-marketi,A,"Xanımın Marketi, Şah İsmayıl Bakı prospekti",20,40.68639,46.38757,1,0,0,0,0,,,,
1299,"Araz Market, Bakı 2",araz-market-baki-2,A,"Araz Market, Bakı rayonu, Həsən Salmani küçəsi 17",1,40.38371,49.8613,1,0,0,0,0,,,,
1300,"Araz Market, Bakı 6",araz-market-baki-6,A,"Araz Market, Bakı rayonu, N.Tusi 19   ",1,40.3763,49.96133,1,0,0,0,0,,,,
1301,"Araz Market, Zığ",araz-market-zig,A,"Araz Market, Bakı rayonu, C.Naxçıvanski küçəsi 66 A, giriş 1 və 2",1,40.40524,49.9549,1,0,0,0,0,,,,
1302,"Araz Market, Masazır 2",araz-market-masazir-2,A,"Araz Market, Masazir qəsəbəsi, Əlağa Vahid küçəsi",2,40.47909,49.75212,1,0,0,0,0,,,,
1303,"Araz Market, Güzdək",araz-market-guzdek,A,"Araz Market, M.Huseynzade küçəsi ,1-ci mertebe",2,40.45864,49.71426,1,0,0,0,0,,,,
1304,"Araz Market, Saray 3",araz-market-saray-3,A,"Araz Market, Saray qesebesi,  Mehemmed Esedov küçəsi 68ci binanin1ci mertebesi",2,40.53273,49.70802,1,0,0,0,0,,,,
1305,"Araz Market, 28 may",araz-market-28-may,A,"Araz Market, Mehdiabad qəsəbəsi, 28 may küçəsi",2,40.48843,49.85579,1,0,0,0,0,,,,
